Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
1/3/2000,INFOSYSTCH,EQ,14467.75,15625,15625.2,15625,15625.2,15625.2,15625.18,5137,8.02666E+12,,,
1/4/2000,INFOSYSTCH,EQ,15625.2,16800,16875.25,16253,16875.25,16855.9,16646.38,56186,9.35294E+13,,,
1/5/2000,INFOSYSTCH,EQ,16855.9,15701,16250,15507.45,15507.45,15507.45,15786.38,164605,2.59852E+14,,,
1/6/2000,INFOSYSTCH,EQ,15507.45,15256.65,15300,14266.85,14266.85,14266.85,14462.82,81997,1.18591E+14,,,
1/7/2000,INFOSYSTCH,EQ,14266.85,13125.5,13125.5,13125.5,13125.5,13125.5,13125.5,7589,9.96094E+12,,,
1/10/2000,INFOSYSTCH,EQ,13125.5,13125.5,14175.5,12075.5,13750,13757.3,13270.6,236175,3.13418E+14,,,
1/11/2000,INFOSYSTCH,EQ,13757.3,13200,13800,12656.75,12656.75,12656.75,12885.28,122331,1.57627E+14,,,
1/12/2000,INFOSYSTCH,EQ,12656.75,11950,13349,11766,13010,13077.55,12873.99,203074,2.61437E+14,,,
1/13/2000,INFOSYSTCH,EQ,13077.55,13100,13149,12031.35,12033,12090.6,12529.38,156550,1.96147E+14,,,
1/14/2000,INFOSYSTCH,EQ,12090.6,12249,12297,11203,12170,12176.4,11896.77,125313,1.49082E+14,,,
1/17/2000,INFOSYSTCH,EQ,12176.4,12200,12885,11720,11773,11870.9,12210.99,141351,1.72604E+14,,,
1/18/2000,INFOSYSTCH,EQ,11870.9,11739.7,12169,11325,11930,11935.65,11818.44,158523,1.87349E+14,,,
1/19/2000,INFOSYSTCH,EQ,11935.65,12546,12890.5,12420,12890.5,12889.85,12765.4,156209,1.99407E+14,,,
1/20/2000,INFOSYSTCH,EQ,12889.85,13200,13551,12611,12739,12747.05,13196.1,154520,2.03906E+14,,,
1/21/2000,INFOSYSTCH,EQ,12747.05,12900,13590,12503,13550,13420.2,13122.91,162391,2.13104E+14,,,
1/24/2000,INFOSYSTCH,EQ,13420.2,13600,14489,13600,13840.1,13878.8,14027.99,197315,2.76793E+14,,,
1/25/2000,INFOSYSTCH,EQ,13878.8,13800,14250,13400.05,14190,14109.4,13923.52,159919,2.22663E+14,,,
1/27/2000,INFOSYSTCH,EQ,14109.4,7570,7600,7293,7405,7390.75,7464.8,202403,1.5109E+14,,,
1/28/2000,INFOSYSTCH,EQ,7390.75,7426,7699,7426,7625,7611.55,7592.45,270024,2.05014E+14,,,
1/31/2000,INFOSYSTCH,EQ,7611.55,7535.5,7544,7127,7218,7221.7,7396.24,118723,8.78104E+13,,,
2/1/2000,INFOSYSTCH,EQ,7221.7,7250,7450,7150,7440,7417.4,7345.05,110241,8.09725E+13,,,
2/2/2000,INFOSYSTCH,EQ,7417.4,7590,7700,7349.5,7370,7365.8,7447.18,148305,1.10445E+14,,,
2/3/2000,INFOSYSTCH,EQ,7365.8,7416,7510,7370,7465,7440.8,7437,94251,7.00945E+13,,,
2/4/2000,INFOSYSTCH,EQ,7440.8,7475,7950,7475,7860.25,7896.95,7800.28,315261,2.45913E+14,,,
2/7/2000,INFOSYSTCH,EQ,7896.95,7899,8528.75,7899,8480,8496.2,8327.43,265447,2.21049E+14,,,
2/8/2000,INFOSYSTCH,EQ,8496.2,8495,9150,8495,8920,8898.2,8952.29,232856,2.08459E+14,,,
2/9/2000,INFOSYSTCH,EQ,8898.2,9399,9399,8600,8660,8709.75,8890.93,165555,1.47194E+14,,,
2/10/2000,INFOSYSTCH,EQ,8709.75,8799,9275,8799,9180,9209,9052.1,293402,2.6559E+14,,,
2/11/2000,INFOSYSTCH,EQ,9209,9269,9945.75,9269,9945.75,9945.75,9935.78,32816,3.26053E+13,,,
2/14/2000,INFOSYSTCH,EQ,9945.75,10741.45,10741.45,10741.45,10741.45,10741.45,10741.45,23733,2.54927E+13,,,
2/15/2000,INFOSYSTCH,EQ,10741.45,10741.45,10741.45,9882.15,9882.15,9961.75,10041.95,333437,3.34836E+14,,,
2/16/2000,INFOSYSTCH,EQ,9961.75,10050,10300,9635,9900,10037.85,10027.3,198757,1.993E+14,,,
2/17/2000,INFOSYSTCH,EQ,10037.85,10000,10800,10000,10298,10298.3,10436.85,189457,1.97733E+14,,,
2/18/2000,INFOSYSTCH,EQ,10298.3,10419,10500,9775,9920,9864.6,10075.31,166067,1.67318E+14,,,
2/21/2000,INFOSYSTCH,EQ,9864.6,9850,10500,9701,10220,10254.75,10239.38,277368,2.84008E+14,,,
